NVT Name,Summary,Vulnerability Insight,Impact,target,id
phpMyAdmin < 4.9.2 Multiple Vulnerabilities (PMASA-2019-5) - Linux,phpMyAdmin is prone to multiple vulnerabilities.,"phpMyAdmin is prone to multiple vulnerabilities:

  - SQL injection vulnerability (CVE-2019-18622)

  - Certain Git information is not escaped (CVE-2019-19617)",,Critical,9a519a4f-e86f-41e7-9afd-6e71e2413cda
Apache Tomcat Multiple Vulnerabilities (Dec 2024) - Linux,Apache Tomcat is prone to multiple vulnerabilities.,"The following flaws exist:

  - CVE-2024-50379: Remote code execution (RCE) via write-enabled default servlet

  - CVE-2024-54677: Denial of service (DoS) in examples web application

  - CVE-2024-56337: RCE via write-enabled default servlet - CVE-2024-50379 mitigation was
  incomplete",,Medium,e095f776-a636-4209-bb1c-66e49e8b4d01
Redis <= 7.0.5 DoS Vulnerability,Redis is prone to a denial of service (DoS) vulnerability.,"A vulnerability, which was classified as problematic, was
  found in Redis. Affected is the function sigsegvHandler of the file debug.c of the component
  Crash Report. The manipulation leads to denial of service.
  The real existence of this vulnerability is still doubted at the moment. The name of the
  patch is 0bf90d944313919eb8e63d3588bf63a367f020a3. It is recommended to apply a patch to fix
  this issue. VDB-211962 is the identifier assigned to this vulnerability.

  NOTE: The vendor claims that this is not a DoS because it applies to the crash logging
  mechanism which is triggered after a crash has occurred.",,Low,90f07688-6781-4fa3-a654-93a5c9dca8a6
TCP Timestamps Information Disclosure,"The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.",Low,67d70cc3-af04-4c11-943f-7392eeba1238
Apache HTTP Server < 2.4.38 mod_session_cookie Vulnerability - Linux,"In Apache HTTP Server mod_session checks the session expiry time before
  decoding the session. This causes session expiry time to be ignored for mod_session_cookie sessions since the
  expiry time is loaded when the session is decoded.",,,High,91aee7d9-4454-4475-8317-80075051a080
Traceroute,"Collect information about the network route and
  network distance between the scanner host and the target host.","For internal networks, the distances are usually
  small, often less than 4 hosts between scanner and target. For public targets the
  distance is greater and might be 10 hosts or more.",,Log,62f84989-9fa8-4aa9-87bf-2c53e3829c1d
PHP End of Life (EOL) Detection - Linux,"The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","Each release branch of PHP is fully supported for two years from
  its initial stable release. During this period, bugs and security issues that have been reported
  are fixed and are released in regular point releases.

  After this two year period of active support, each branch is then supported for an additional year
  for critical security issues only. Releases during this period are made on an as-needed basis:
  there may be multiple point releases, or none, depending on the number of reports.

  Once the three years of support are completed, the branch reaches its end of life and is no longer
  supported.","An EOL version of PHP is not receiving any security updates from
  the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the
  security of this host.",Critical,77abf63a-ee25-46af-99f9-231c6d65156e
"PHP < 5.6.31, 7.x < 7.0.17, 7.1.x < 7.1.3 DoS Vulnerability (Jul 2017) - Linux",PHP is prone to a denial of service (DoS) vulnerability.,"The flaw exists due to improper handling of long form
  variables in main/php_variables.c script.","Successfully exploiting this issue allow an attacker to cause a
  CPU consumption denial of service attack.",High,244787e3-a77f-4bc1-be98-d44a02b489aa
Services,This plugin performs service detection.,"This plugin attempts to guess which service is running on the
  remote port(s). For instance, it searches for a web server which could listen on another port than
  80 or 443 and makes this information available for other check routines.",,Log,2249a747-4bae-485f-8e1c-13719aeaea47
jQuery 1.2 < 3.5.0 XSS Vulnerability,"jQuery is prone to a cross-site scripting (XSS) vulnerability in
  jQuery.htmlPrefilter and related methods.","Passing HTML from untrusted sources - even after sanitizing it -
  to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute
  untrusted code.",,Medium,03a4d081-a09f-4dea-8938-5b2e59465daa
Allowed HTTP Methods Enumeration,Enumerates which HTTP methods are allowed.,"'- Basic HTTP methods: GET, HEAD, POST, PUT, DELETE, CONNECT,
  OPTIONS, TRACE

  - Extended HTTP methods: ACL, BASELINE-CONTROL, BIND, CHECKIN, CHECKOUT, COPY, LABEL, LINK, LOCK,
  MERGE, MKACTIVITY, MKCALENDAR, MKCOL, MKREDIRECTREF, MKWORKSPACE, MOVE, ORDERPATCH, PATCH, PRI,
  PROPFIND, PROPPATCH, REBIND, REPORT, SEARCH, UNBIND, UNCHECKOUT, UNLINK, UNLOCK, UPDATE,
  UPDATEREDIRECTREF, VERSION-CONTROL",,Log,9abeafd8-9653-4653-a940-700b7f3bf5e3
Apache HTTP Server Multiple Vulnerabilities (Jun 2017) - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,"Multiple flaws exist as,

  - The mod_mime can read one byte past the end of a buffer when sending a malicious
    Content-Type response header.

  - The mod_ssl may dereference a NULL pointer when third-party modules call
    ap_hook_process_connection() during an HTTP request to an HTTPS port.

  - An use of the ap_get_basic_auth_pw() by third-party modules outside of the
    authentication phase may lead to authentication requirements being
    bypassed.","Successful exploitation will allow remote
  attackers to bypass authentication and perform unauthorized actions, cause
  a denial-of-service condition and gain access to potentially sensitive
  information.",Critical,6b720e20-f1db-482b-8305-e4b219048dca
PHP <= 5.6.27 / 7.0.x <= 7.0.12 DoS Vulnerability,PHP is prone to a denial of service (DoS) vulnerability.,"PHP mishandles property modification during __wakeup
  processing, which allows remote attackers to cause a denial of service or possibly have
  unspecified other impact via crafted serialized data, as demonstrated by Exception::__toString
  with DateInterval::__wakeup.",,Critical,6c1488c1-ea4f-4417-9ce9-88b6cfc71835
ICMP Timestamp Reply Information Disclosure,The remote host responded to an ICMP timestamp request.,"The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","This information could theoretically be used to exploit weak
  time-based random number generators in other services.",Low,11f11e70-57cd-47cd-8732-36d712cb2e12
Apache HTTP Server Denial of Service Vulnerability-02 (Apr 2018) - Linux,Apache HTTP Server is prone to a denial of service vulnerability.,"The flaw exists as the Apache HTTP Server
  fails to sanitize against a specially crafted HTTP request header.","Successful exploitation will allow an attacker
  to crash the Apache HTTP Server resulting in denial of service condition.",High,6631bab5-79ee-4732-8f64-a055c5dd1510
nginx Information Disclosure Vulnerability,nginx is prone to an information disclosure vulnerability.,"The flaw exists due to an integer overflow
  error in the nginx range filter module and incorrect processing of ranges.","Successful exploitation will allow
  remote attackers to gain access to potentially sensitive information.",High,6c15e100-d781-4781-91bd-18f98e14e9a1
ICMP Timestamp Reply Information Disclosure,The remote host responded to an ICMP timestamp request.,"The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","This information could theoretically be used to exploit weak
  time-based random number generators in other services.",Low,8d852e5f-fa7a-4273-8b9d-88ca46335a63
Drupal Multiple Vulnerabilities (Dec 2016) - Linux,Drupal is prone to multiple vulnerabilities.,"Multiple flaws are due to:

  - An inconsistent naming of access query tags for taxonomy terms.

  - The user password reset form does not specify a proper cache context.

  - The confirmation forms allow external URLs to be injected.

  - An error in transliterate mechanism.","Successful exploitation will allow remote
  attackers to cause a denial of service condition, obtain sensitive
  information, conduct cache poisoning attacks and conduct open redirect attacks.",High,a57129d3-5c9e-48fc-8074-f9abb712ce71
Response Time / No 404 Error Code Check,"This VT tests if the remote web server does not reply with a 404
  error code and checks if it is replying to the scanners requests in a reasonable amount of time.","This web server might show the following issues:

  - it is [mis]configured in that it does not return '404 Not Found' error codes when a non-existent
  file is requested, perhaps returning a site map, search page, authentication page or redirect instead.

  The Scanner might enabled some counter measures for that, however they might be insufficient. If a
  great number of security issues are reported for this port, they might not all be accurate.

  - it doesn't response in a reasonable amount of time to various HTTP requests sent by this VT.

  In order to keep the scan total time to a reasonable amount, the remote web server might not be
  tested. If the remote server should be tested it has to be fixed to have it reply to the scanners
  requests in a reasonable amount of time.

  Alternatively the 'Maximum response time (in seconds)' preference could be raised to a higher
  value if longer scan times are accepted.",,Log,55d7de90-faf6-4113-89c6-3375d8c9af17
TCP Timestamps Information Disclosure,"The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.",Low,d45f8b1e-8375-4dbf-a5f1-50b1cc4655e3
CPE Inventory,"This routine uses information collected by other routines about
  CPE identities of operating systems, services and applications detected during the scan.

  Note: Some CPEs for specific products might show up twice or more in the output. Background:

  After a product got renamed or a specific vendor was acquired by another one it might happen that
  a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older
  CPE.",,,Log,8cd0fe70-2232-4f34-ac3f-d83b1c7f65f2
Apache Tomcat HTTP/2 Protocol DoS Vulnerability (MadeYouReset) - Linux,"Apache Tomcat is prone to is prone to a denial of service (DoS)
  vulnerability in the HTTP/2 protocol dubbed 'MadeYouReset'.","A mismatch caused by client-triggered server-sent stream resets
  between HTTP/2 specifications and the internal architectures of some HTTP/2 implementations may
  result in excessive server resource consumption leading to denial-of-service (DoS). By opening
  streams and then rapidly triggering the server to reset them, using malformed frames or flow
  control errors, an attacker can exploit incorrect stream accounting. Streams reset by the server
  are considered closed at the protocol level, even though backend processing continues. This
  allows a client to cause the server to handle an unbounded number of concurrent streams on a
  single connection.",,High,76db77fb-7184-43bd-870a-126c1cdb0529
PHP Multiple Vulnerabilities (Sep 2009),PHP is prone to multiple vulnerabilities.,"The following flaws exist:

  - An error in 'php_openssl_apply_verification_policy' function that does not properly perform
  certificate validation

  - An input validation error in the processing of 'exif' data

  - An unspecified error related to the sanity check for the color index in the
  'imagecolortransparent' function","Successful exploitation will allow attackers to spoof
  certificates and can cause unknown impacts in the context of the web application.",High,30e21cd1-3ad8-4c51-9bf3-b73abfe14691
"PHP < 8.1.33, 8.2.x < 8.2.29, 8.3.x < 8.3.23, 8.4.x < 8.4.10 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"The following vulnerabilities exist:

  - CVE-2025-1220: Null byte termination in hostnames

  - CVE-2025-1735: pgsql extension does not check for errors during escaping

  - CVE-2025-6491: NULL pointer dereference in PHP SOAP extension via large XML namespace prefix",,High,995ab70e-1296-4987-97e5-8dc55f94a57e
"Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.32 Security Update (cpuapr2023) - Linux",Oracle MySQL Server is prone to multiple vulnerabilities.,,,High,f092d49e-38ed-4848-bc33-0167b6eb709c
"Oracle MySQL Server <= 8.0.39, 8.1 <= 8.4.1, 9.0 <= 9.0.1 Security Update (cpuoct2024) - Linux","Oracle MySQL Server is prone to a denial of service (DoS)
  vulnerability.",,,Medium,ff1aa483-a70d-41a2-8eea-e4418ebab07d
"Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSH, D(HE)ater)","The remote SSH server is supporting Diffie-Hellman ephemeral
  (DHE) Key Exchange (KEX) algorithms and thus could be prone to a denial of service (DoS)
  vulnerability.","'- CVE-2002-20001: The Diffie-Hellman Key Agreement Protocol
  allows remote attackers (from the client side) to send arbitrary numbers that are actually not
  public keys, and trigger expensive server-side DHE modular-exponentiation calculations, aka a
  D(HE)ater attack. The client needs very little CPU resources and network bandwidth. The attack may
  be more disruptive in cases where a client can require a server to select its largest supported
  key size. The basic attack scenario is that the client must claim that it can only communicate
  with DHE, and the server must be configured to allow DHE.

  - CVE-2022-40735: The Diffie-Hellman Key Agreement Protocol allows use of long exponents that
  arguably make certain calculations unnecessarily expensive, because the 1996 van Oorschot and
  Wiener paper found that '(appropriately) short exponents' can be used when there are adequate
  subgroup constraints, and these short exponents can lead to less expensive calculations than for
  long exponents. This issue is different from CVE-2002-20001 because it is based on an observation
  about exponent size, rather than an observation about numbers that are not public keys. The
  specific situations in which calculation expense would constitute a server-side vulnerability
  depend on the protocol (e.g., TLS, SSH, or IKE) and the DHE implementation details. In general,
  there might be an availability concern because of server-side resource consumption from DHE
  modular-exponentiation calculations. Finally, it is possible for an attacker to exploit this
  vulnerability and CVE-2002-20001 together.

  - CVE-2024-41996: Validating the order of the public keys in the Diffie-Hellman Key Agreement
  Protocol, when an approved safe prime is used, allows remote attackers (from the client side) to
  trigger unnecessarily expensive server-side DHE modular-exponentiation calculations. The client
  may cause asymmetric resource consumption. The basic attack scenario is that the client must claim
  that it can only communicate with DHE, and the server must be configured to allow DHE and validate
  the order of the public key.","This vulnerability allows remote attackers (from the client side)
  to send arbitrary numbers that are actually not public keys, and trigger expensive server-side DHE
  modular-exponentiation calculations, also known as a D(HE)ater attack.

  There could be an increase in CPU usage in the affected component. For OpenSSH, users may observe
  issues such as a slowdown in SSH connections.",High,81ebaf91-3daf-45af-961f-5311d3b52aba
Apache HTTP Server 2.4.6 - 2.4.46 Tunneling Misconfiguration Vulnerability - Linux,"Apache HTTP Server is prone to a tunneling misconfiguration
  vulnerability.","mod_proxy_wstunnel configured on an URL that is not necessarily
  upgraded by the origin server was tunneling the whole connection regardless, thus allowing for
  subsequent requests on the same connection to pass through with no HTTP validation,
  authentication or authorization possibly configured.",,Medium,75ab8ca1-c078-4eee-b33b-8d8d52cebea1
Apache HTTP Server Memory Access Vulnerability - Linux,Apache HTTP Server is prone to a memory access vulnerability.,"Using fuzzed network input, the http/2 session handling could
  be made to read memory after being freed during connection shutdown.",,Critical,c51a0e87-f174-4e4c-b99a-c6a45268d5a2
"Oracle MySQL Server <= 5.7.40, 8.x <= 8.0.31 Security Update (cpuapr2023) - Linux","Oracle MySQL Server is prone to a denial of service (DoS)
  vulnerability.",,,Low,a6cedebc-b653-4dc6-9cec-8ddd8d1d9cdf
"PHP < 8.0.27, 8.1.x < 8.1.14, 8.2.x < 8.2.1 Security Update - Linux",PHP is prone to an integer overflow vulnerability.,"Due to an uncaught integer overflow, PDO::quote() of
  PDO_SQLite may return a not properly quoted string.",,High,1041f723-f4fe-4ab3-9d66-6ed7be648ebb
Drupal 7.x < 7.86 Multiple XSS Vulnerabilities (SA-CORE-2022-002) - Linux,"Drupal is prone to multiple cross-site scripting (XSS)
  vulnerabilities in jQuery UI.","jQuery UI is a third-party library used by Drupal. This library
  was previously thought to be end-of-life.

  Late in 2021, jQuery UI announced that they would be continuing development, and released a
  jQuery UI 1.13.0 version.

  It is possible that this vulnerability is exploitable with some Drupal modules. As a precaution,
  this Drupal security release applies the fix for the above cross-site description issue, without
  making any of the other changes to the jQuery version that is included in Drupal.",,Medium,ca74f468-00cd-4f3b-881a-644182e1c898
Apache HTTP Server 2.4.0 < 2.4.42 Multiple Vulnerabilities - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,"Apache HTTP Server is prone to multiple vulnerabilities:

  - mod_rewrite CWE-601 open redirect (CVE-2020-1927)

  - mod_proxy_ftp use of uninitialized value (CVE-2020-1934)",,Medium,c8ca6946-63db-43da-bab8-022fe9c8e1b1
Apache HTTP Server 2.4.17 < 2.4.49 mod_proxy HTTP/2 Request Smuggling Vulnerability - Linux,"Apache HTTP Server is prone to an HTTP/2 request smuggling
  vulnerability in the 'mod_proxy' module.","Apache's mod_proxy allows spaces in the :method of HTTP/2
  requests, enabling request line injection. If the back-end server tolerates trailing junk in the
  request line, this lets an attacker to bypass block rules.",,High,82259890-ffcc-4d34-97f1-9debd7d6d242
"phpMyAdmin < 4.9.5, 5.x < 5.0.2 Multiple SQL Injection Vulnerabilities (PMASA-2020-2, PMASA-2020-3, PMASA-2020-4) - Linux",phpMyAdmin is prone to multiple SQL injection vulnerabilities.,"The following SQL injection vulnerabilities exist:

  - An SQL injection vulnerability was found in how phpMyAdmin retrieves the current username

  - An SQL injection vulnerability has been discovered where certain parameters are not properly
  escaped when generating certain queries for search actions within phpMyAdmin

  - An SQL injection vulnerability was discovered where malicious code could be used to trigger
  an XSS attack through retrieving and displaying results.","Successful exploitation would allow an attacker to:

  - create a specially-crafted username and then trick the victim in to performing specific
  actions with that user account (such as editing its privileges)

  - generate specially-crafted database or table names

  - insert specially-crafted data in to certain database tables, which when retrieved
  (for instance, through the Browse tab) can trigger an XSS attack",High,d4da2330-8c1a-4768-8771-68cf298325d0
Weak Encryption Algorithm(s) Supported (SSH),"The remote SSH server is configured to allow / support weak
  encryption algorithm(s).","'- The 'arcfour' cipher is the Arcfour stream cipher with 128-bit
  keys. The Arcfour cipher is believed to be compatible with the RC4 cipher [SCHNEIER]. Arcfour
  (and RC4) has problems with weak keys, and should not be used anymore.

  - The 'none' algorithm specifies that no encryption is to be done. Note that this method provides
  no confidentiality protection, and it is NOT RECOMMENDED to use it.

  - A vulnerability exists in SSH messages that employ CBC mode that may allow an attacker to
  recover plaintext from a block of ciphertext.",,Medium,3b864c8a-079e-40c5-a940-10f634335b4b
"PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"The following vulnerabilities exist:

  - CVE-2024-4577: Argument injection in PHP-CGI (bypass of CVE-2012-1823)

  - CVE-2024-5458: Filter bypass in filter_var FILTER_VALIDATE_URL

  - CVE-2024-5585: Bypass of CVE-2024-1874

  Note: As of 06/2024 the CVEs CVE-2024-4577 and CVE-2024-5585 are known to be exploitable on
  Windows systems only.",,Critical,4da4ac8f-e55b-4b7c-b55c-0b6f65278e2d
"PHP < 8.1.28, 8.2.x < 8.2.18, 8.3.x < 8.3.6 Security Update (GHSA-h746-cjrr-wfmr) - Linux",PHP is prone to a vulnerability in password_verify.,"If a password stored with password_hash starts with a null
  byte (\x00), testing a blank string as the password via password_verify will incorrectly return
  true.

  If a user were able to create a password with a leading null byte (unlikely, but syntactically
  valid), an attacker could trivially compromise the victim's account by attempting to sign in with
  a blank string.",,Medium,cb325cbf-5c32-4675-ac9c-29fcb72dff9d
Apache HTTP Server Denial of Service Vulnerability-02 (Apr 2018) - Linux,Apache HTTP Server is prone to a denial of service vulnerability.,"The flaw exists as the Apache HTTP Server
  fails to sanitize against a specially crafted HTTP request header.","Successful exploitation will allow an attacker
  to crash the Apache HTTP Server resulting in denial of service condition.",High,2ff0854c-9248-443e-abda-66ebbf01e93e
nginx 1.1.3 - 1.15.5 Denial of Service and Memory Disclosure via mp4 module,"A security issue was identified in the ngx_http_mp4_module, which might
  allow an attacker to cause infinite loop in a worker process, cause a worker process crash, or might result
  in worker process memory disclosure by using a specially crafted mp4 file.","The issue only affects nginx if it is built with the ngx_http_mp4_module
  (the module is not built by default) and the 'mp4' directive is used in the configuration file. Further,
  the attack is only possible if an attacker is able to trigger processing of a specially crafted mp4 file
  with the ngx_http_mp4_module.",,Medium,ca223beb-a2f3-4b42-85f9-326c8415a6c1
Apache Tomcat NIO/NIO2 Connectors Information Disclosure Vulnerability - Linux,Apache Tomcat is prone to an information disclosure vulnerability.,"The flaw exists due to an error where a
  mishandling of close in 'NIO/NIO2' connectors, user sessions can get mixed up.","Successful exploitation can allow an attacker
  to reuse user sessions in a new connection.",Medium,2736e5f6-cb4c-4485-850f-c37958108293
Apache HTTP Server 2.4.0 - 2.4.40 Multiple Vulnerabilities - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,"Apache HTTP server is prone to multiple vulnerabilities:

  - A limited cross-site scripting issue affecting the mod_proxy error page. An attacker
  could cause the link on the error page to be malformed and instead point to a page of
  their choice. This would be exploitable where a server was set up with proxying enabled
  but was misconfigured in such a way that the Proxy Error page was displayed. (CVE-2019-10092)

  - Redirects configured with mod_rewrite that were intended to be self referential
  might be fooled by encoded newlines and redirect instead to an unexpected URL within
  the request URL. (CVE-2019-10098)",,Medium,1727ec70-0daf-4107-a1cc-693948e3548d
Drupal 7.x < 7.39 Multiple Vulnerabilities (SA-CORE-2015-003) - Linux,Drupal is prone to multiple vulnerabilities.,"The following flaws exist:

  - An error in the Ajax handler involving a whitelisted HTML element, possibly
  related to the 'a' tag.

  - An error in the SQL comment filtering system in the Database API.","Successful exploitation will allow remote
  attackers to inject or manipulate SQL queries in the back-end database,
  allowing for the manipulation or disclosure of arbitrary data, and
  execute arbitrary HTML and script code in a user's browser session in the
  context of an affected site.",High,e0df60dd-9b17-4a05-ad9c-db3dbcac2c21
ICMP Timestamp Reply Information Disclosure,The remote host responded to an ICMP timestamp request.,"The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","This information could theoretically be used to exploit weak
  time-based random number generators in other services.",Low,20f30a71-e2a9-45ee-9b00-5df24a514cce
Samba < 3.3.13 SMB1 Packet Chaining Unspecified Remote Memory Corruption Vulnerability,Samba is prone to an unspecified memory-corruption vulnerability.,,"Attackers can exploit this issue to execute arbitrary code in the
  context of the application. Failed attacks may cause a denial-of-service condition.",High,375f94e2-64ae-4c80-8a95-4d96d0aa4049
DNS Server Detection (TCP),TCP based detection of a DNS server.,,,Log,834f1332-b024-4381-9e5a-3b1ec97976dd
TCP Timestamps Information Disclosure,"The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.",Low,77998164-343a-45ca-a068-67902800cf30
ICMP Timestamp Reply Information Disclosure,The remote host responded to an ICMP timestamp request.,"The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","This information could theoretically be used to exploit weak
  time-based random number generators in other services.",Low,44765c6b-1c21-4007-8dbb-efb4c93daa31
Traceroute,"Collect information about the network route and
  network distance between the scanner host and the target host.","For internal networks, the distances are usually
  small, often less than 4 hosts between scanner and target. For public targets the
  distance is greater and might be 10 hosts or more.",,Log,d5e91d13-1a38-4d31-a1d7-a24bbb31abc4
"PHP < 5.5.33, 5.6.x < 5.6.19 Multiple Vulnerabilities (Apr 2016) - Linux",PHP is prone to multiple vulnerabilities.,"The following flaws exist:

  - Use-after-free error in wddx.c script in the WDDX extension in PHP

  - Error in the phar_parse_zipfile function in zip.c script in the PHAR extension in PHP.","Successfully exploiting these issues allow remote attackers to
  gain access to potentially sensitive information and conduct a denial of service (memory
  corruption and application crash).",Critical,944105a2-8df8-4c46-bb9b-616bbe826769
"Redis < 5.0.14, 6.0.x < 6.0.16, 6.1.x < 6.2.6 Multiple Vulnerabilities",Redis is prone to multiple vulnerabilities.,"The following vulnerabilities exist:

  - CVE-2021-32628: Integer overflow in the ziplist data structure

  - CVE-2021-32675: Denial of Service (DoS)

  - CVE-2021-32687: Integer overflow in intsets

  - CVE-2021-32762: Integer overflow in redis-cli and redis-sentinel

  - CVE-2021-41099: Integer overflow in the underlying string library",,High,5021d53c-d1d7-4503-a900-2ff0d20adfc2
"Oracle MySQL Server <= 8.0.41, 8.1 <= 8.4.4, 9.0 <= 9.2.0 Security Update (cpuapr2025) - Linux",Oracle MySQL Server is prone to multiple vulnerabilities.,,,Medium,06108b63-c842-4925-b018-9239b186ff05
TCP Timestamps Information Disclosure,"The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.",Low,f3071276-5ed5-45f5-a7e2-97d4ae637665
Unprotected MongoDB Service (TCP),The remote MongoDB service is unprotected.,,"Attackers can exploit this issue to obtain sensitive information
  that may lead to further attacks.",High,ee02d731-2e8c-48c9-b3c9-4a3738656557
"PHP < 5.4.44, 5.5.x < 5.5.28, 5.6.x < 5.6.12 Multiple Vulnerabilities (Jul 2016) - Linux",PHP is prone to multiple vulnerabilities.,"Multiple flaws exist due to:

  - An improper validation of certain Exception objects in 'Zend/zend_exceptions.c' script.

  - The 'openssl_random_pseudo_bytes' function in 'ext/openssl/openssl.c' incorrectly relies on the
  deprecated 'RAND_pseudo_bytes' function.","Successfully exploiting this issue allow remote attackers to
  cause a denial of service (NULL pointer dereference and application crash) or trigger unintended
  method execution to defeat cryptographic protection mechanisms.",Critical,2fe60684-8eab-49f6-b054-10624b9a9f75
Apache Tomcat DoS Vulnerability (Feb 2023) - Linux,"Apache Tomcat is prone to a denial of service (DoS)
  vulnerability.","Apache Tomcat uses a packaged renamed copy of Apache Commons
  FileUpload to provide the file upload functionality defined in the Jakarta Servlet specification.
  Apache Tomcat was, therefore, also vulnerable to the Apache Commons FileUpload vulnerability
  CVE-2023-24998 as there was no limit to the number of request parts processed. This resulted in
  the possibility of an attacker triggering a DoS with a malicious upload or series of uploads.",,High,0b626854-7bb1-40ff-a1e5-94ba7a88852d
"PHP < 8.1.33, 8.2.x < 8.2.29, 8.3.x < 8.3.23, 8.4.x < 8.4.10 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"The following vulnerabilities exist:

  - CVE-2025-1220: Null byte termination in hostnames

  - CVE-2025-1735: pgsql extension does not check for errors during escaping

  - CVE-2025-6491: NULL pointer dereference in PHP SOAP extension via large XML namespace prefix",,High,0f4ca658-6851-4cad-b83c-976edde746e6
nginx 0.6.18 - 1.20.0 1-byte Memory Overwrite Vulnerability,nginx is prone to a 1-byte memory overwrite vulnerability.,"A security issue in nginx resolver was identified, which might
  allow an attacker to cause 1-byte memory overwrite by using a specially crafted DNS response,
  resulting in worker process crash or, potentially, in arbitrary code execution.",,High,30133d56-e462-4917-9290-1727329fc754
Oracle MySQL Server <= 5.5.46 / 5.6 <= 5.6.27 / 5.7.9 Security Update (cpujan2016) - Linux,Oracle MySQL Server is prone to multiple unspecified vulnerabilities.,"Unspecified errors exist in the 'MySQL Server' component via
  unknown vectors.","Successful exploitation will allow an authenticated remote attacker
  to affect confidentiality, integrity, and availability via unknown vectors.",High,8f463169-2370-4a70-85b7-d90feae773f1
"Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.30 Security Update (cpuapr2023) - Linux","Oracle MySQL Server is prone to a denial of service (DoS)
  vulnerability.",,,High,052ba084-8e07-4ebb-aa6f-7e7ae546d72e
ICMP Timestamp Reply Information Disclosure,The remote host responded to an ICMP timestamp request.,"The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","This information could theoretically be used to exploit weak
  time-based random number generators in other services.",Low,fd32f8ae-7c3b-448b-82e9-c3aecf89e696
Python 2.7.x < 2.7.15 Heap-Based Buffer Overflow Vulnerability Python Issue (bpo-31530) - Linux,Python is prone to a heap-based buffer overflow vulnerability.,"The flaw exists due to an improper notification
  mechanism on buffer reallocation and corruption in a file's internal readahead
  buffer which, while processing large amounts of data with multiple threads, could
  create a condition where a buffer that gets allocated with one thread is
  reallocated due to a large size of input.","Successful exploitation will allow an attacker
  to cause a heap-based buffer overflow.",Low,f64d5cfe-fd63-4118-b1d3-f9fb87c00ae3
Oracle MySQL Server <= 5.6.49 / 5.7 <= 5.7.31 / 8.0 <= 8.0.21 Security Update (cpuoct2020) - Linux,Oracle MySQL Server is prone to multiple vulnerabilities.,,,Medium,0e94f82b-5344-4fa6-98ab-a521046fae81
Apache HTTP Server < 2.4.59 Multiple Vulnerabilities - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,"The following vulnerabilities exist:

  - CVE-2023-38709: HTTP response splitting

  - CVE-2024-24795: HTTP response splitting in multiple modules

  - CVE-2024-27316: HTTP/2 DoS by memory exhaustion on endless continuation frames",,High,4701519e-2b57-4acb-a341-31f1444eeb5a
